,from,to,label,pval,origin,RefSeq,gene,enzyme,reaction_name,reaction_equation,url,reaction,log2FC,baseMean,logPval,signal,signalRank,score
1,C00026,C00311,Idh1,0.013730780920013785,70,NM_001111320,15926,1.1.1.42,"Isocitrate:NADP+ oxidoreductase (decarboxylating)","Isocitrate + NADP+ <=> 2-Oxoglutarate + CO2 + NADPH + H+",http://www.kegg.jp/entry/R00267,R00267,-2.5804571332246,1081.07232397003,-15.348800161245068,gs586,32.0,-0.14947532549185058
2,C00042,C00091,Suclg2,0.7987477234564722,292,NM_011507,20917,6.2.1.5,"Succinate:CoA ligase (ADP-forming)","ATP + Succinate + CoA <=> ADP + Orthophosphate + Succinyl-CoA",http://www.kegg.jp/entry/R00405,R00405,-2.97831804789208,142.09275376598,-13.5282052824842,gs582,198.0,-3.399068232753809
3,C00051,C01031,Esd,0.8220858306158334,323,NM_016903,13885,3.1.2.12,"S-Formylglutathione hydrolase","S-Formylglutathione + H2O <=> Formate + Glutathione",http://www.kegg.jp/entry/R00527,R00527,1.70755145669254,1638.81284226935,-6.420458475676064,gs9,17.0,-3.42209993640286
4,C00058,C01031,Esd,0.8220858306158334,323,NM_016903,13885,3.1.2.12,"S-Formylglutathione hydrolase","S-Formylglutathione + H2O <=> Formate + Glutathione",http://www.kegg.jp/entry/R00527,R00527,1.70755145669254,1638.81284226935,-6.420458475676064,gs9,17.0,-3.42209993640286
5,C00257,C00345,Idnk,0.0733305742032826,40,NM_001048060,75731,2.7.1.12,"ATP:D-gluconate 6-phosphotransferase","ATP + D-Gluconic acid <=> ADP + 6-Phospho-D-gluconate",http://www.kegg.jp/entry/R01737,R01737,1.88820392044249,365.147133863477,-6.341975161538663,gs10,103.0,-1.4892789871439123
6,C00267,C00668,Hk3,1.205937132700904E-6,163,NM_001206390,212032,2.7.1.1,"ATP:alpha-D-glucose 6-phosphotransferase","ATP + alpha-D-Glucose <=> ADP + alpha-D-Glucose 6-phosphate",http://www.kegg.jp/entry/R01786,R01786,1.85771160681405,626.399320330506,-6.3199688803875365,gs11,64.0,7.320035359475599
7,C00197,C00236,Pgk1,0.45070765423588455,235,NM_008828,18655,2.7.2.3,"ATP:3-phospho-D-glycerate 1-phosphotransferase","ATP + 3-Phospho-D-glycerate <=> ADP + 3-Phospho-D-glyceroyl phosphate",http://www.kegg.jp/entry/R01512,R01512,1.7371825104136,509.441994777929,-5.912075661908173,gs16,73.0,-2.941446530523924
8,C00117,C00119,Prps2,0.07469930912010814,411,NM_026662,110639,2.7.6.1,"ATP:D-ribose-5-phosphate diphosphotransferase","ATP + D-Ribose 5-phosphate <=> AMP + 5-Phospho-alpha-D-ribose 1-diphosphate",http://www.kegg.jp/entry/R01049,R01049,-2.258561550944,42.7441912955049,-5.8066181706295215,gs18,351.0,-1.5040684078532527
9,C00122,C00149,Fh1,0.6740395685192198,268,NM_010209,14194,4.2.1.2,"(S)-malate hydro-lyase (fumarate-forming)","(S)-Malate <=> Fumarate + H2O",http://www.kegg.jp/entry/R01082,R01082,-2.5707120827817,34.1030994924655,-5.691325966424231,gs19,372.0,-3.2633104167966334
10,C00234,C00445,Mthfd2,0.24027619534172118,229,NM_008638,17768,3.5.4.9,"5,10-Methenyltetrahydrofolate 5-hydrolase (decyclizing)","5,10-Methenyltetrahydrofolate + H2O <=> 10-Formyltetrahydrofolate + H+",http://www.kegg.jp/entry/R01655,R01655,1.52397486922964,816.809791826391,-5.635071837036185,gs20,50.0,-2.438397765702685
11,C00332,C01144,Hsd17b4,0.6718617954757065,216,NM_008292,15488,1.1.1.35,"(S)-3-Hydroxybutanoyl-CoA:NAD+ oxidoreductase","(S)-3-Hydroxybutanoyl-CoA + NAD+ <=> Acetoacetyl-CoA + NADH + H+",http://www.kegg.jp/entry/R01975,R01975,-1.50067118036463,170.370802958869,-5.624636370517899,gs21,177.0,-3.2607223910040366
12,C00143,C00440,Mthfr,0.1058616298250854,98,NM_001161798,17769,1.5.1.20,"5-methyltetrahydrofolate:NAD+ oxidoreductase","5-Methyltetrahydrofolate + NAD+ <=> 5,10-Methylenetetrahydrofolate + NADH + H+",http://www.kegg.jp/entry/R07168,R07168,2.98174051865549,373.81742406315,-4.437225923843775,gs35,101.5,-1.7829009650463408
13,C00111,C00354,Aldoc,0.010938687802472417,256,NM_009657,11676,4.1.2.13,"D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)","D-Fructose 1,6-bisphosphate <=> Glycerone phosphate + D-Glyceraldehyde 3-phosphate",http://www.kegg.jp/entry/R01068,R01068,-Infinity,7.08148377645848,-4.205051963036434,gs37,493.0,0.0323287910183086
14,C00118,C00354,Aldoc,0.010938687802472417,256,NM_009657,11676,4.1.2.13,"D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)","D-Fructose 1,6-bisphosphate <=> Glycerone phosphate + D-Glyceraldehyde 3-phosphate",http://www.kegg.jp/entry/R01068,R01068,-Infinity,7.08148377645848,-4.205051963036434,gs37,493.0,0.0323287910183086
15,C00111,C00447,Aldoc,0.010938687802472417,256,NM_009657,11676,4.1.2.13,"sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase","Sedoheptulose 1,7-bisphosphate <=> Glycerone phosphate + D-Erythrose 4-phosphate",http://www.kegg.jp/entry/R01829,R01829,-Infinity,7.08148377645848,-4.205051963036434,gs37,493.0,0.0323287910183086
16,C00279,C00447,Aldoc,0.010938687802472417,256,NM_009657,11676,4.1.2.13,"sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase","Sedoheptulose 1,7-bisphosphate <=> Glycerone phosphate + D-Erythrose 4-phosphate",http://www.kegg.jp/entry/R01829,R01829,-Infinity,7.08148377645848,-4.205051963036434,gs37,493.0,0.0323287910183086
17,C00111,C05378,Aldoc,0.010938687802472417,256,NM_009657,11676,4.1.2.13,"beta-D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)","beta-D-Fructose 1,6-bisphosphate <=> Glycerone phosphate + D-Glyceraldehyde 3-phosphate",http://www.kegg.jp/entry/R01070,R01070,-Infinity,7.08148377645848,-4.205051963036434,gs37,493.0,0.0323287910183086
18,C00118,C05378,Aldoc,0.010938687802472417,256,NM_009657,11676,4.1.2.13,"beta-D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)","beta-D-Fructose 1,6-bisphosphate <=> Glycerone phosphate + D-Glyceraldehyde 3-phosphate",http://www.kegg.jp/entry/R01070,R01070,-Infinity,7.08148377645848,-4.205051963036434,gs37,493.0,0.0323287910183086
19,C00100,C00683,Pcca,0.3988320443313569,516,NM_144844,110821,6.4.1.3,"propanoyl-CoA:carbon-dioxide ligase (ADP-forming)","ATP + Propanoyl-CoA + HCO3- <=> ADP + Orthophosphate + (S)-Methylmalonyl-CoA",http://www.kegg.jp/entry/R01859,R01859,3.37086441839172,30.6621950459389,-3.613194019367303,gs50,381.0,-2.843657748886796
20,C00288,C00683,Pcca,0.3988320443313569,516,NM_144844,110821,6.4.1.3,"propanoyl-CoA:carbon-dioxide ligase (ADP-forming)","ATP + Propanoyl-CoA + HCO3- <=> ADP + Orthophosphate + (S)-Methylmalonyl-CoA",http://www.kegg.jp/entry/R01859,R01859,3.37086441839172,30.6621950459389,-3.613194019367303,gs50,381.0,-2.843657748886796
21,C00111,C00118,Tpi1,0.18456513597629964,252,NM_009415,21991,5.3.1.1,"D-glyceraldehyde-3-phosphate aldose-ketose-isomerase","D-Glyceraldehyde 3-phosphate <=> Glycerone phosphate",http://www.kegg.jp/entry/R01015,R01015,1.24513565936713,726.432544576715,-3.600712687143609,gs51,55.0,-2.227441889594673
22,C00136,C00877,Acads,0.11803699750453234,186,NM_007383,11409,1.3.8.1,"butanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase","Butanoyl-CoA + FAD <=> FADH2 + Crotonoyl-CoA",http://www.kegg.jp/entry/R01175,R01175,-2.64665284599972,10.2965109759327,-3.4890021007696306,gs53,472.0,-1.869962860844416
23,C00197,C00631,Pgam1,0.6045863102190197,364,NM_023418,18648,5.4.2.11,"D-phosphoglycerate 2,3-phosphomutase","2-Phospho-D-glycerate <=> 3-Phospho-D-glycerate",http://www.kegg.jp/entry/R01518,R01518,1.08133186282355,1399.25068076377,-3.3323484368430214,gs55,19.0,-3.176345186817089
24,C00683,C01213,Mcee,0.5423726097214967,442,NM_028626,73724,5.1.99.1,"Methylmalonyl-CoA epimerase","(R)-Methylmalonyl-CoA <=> (S)-Methylmalonyl-CoA",http://www.kegg.jp/entry/R02765,R02765,-1.96355842679332,29.0477888573582,-3.0669925499574586,gs65,384.0,-3.0895024537803697
25,C00024,C00033,Acss2,0.9535932878497988,338,NM_019811,60525,6.2.1.1,"Acetate:CoA ligase (AMP-forming)","ATP + Acetate + CoA <=> AMP + Diphosphate + Acetyl-CoA",http://www.kegg.jp/entry/R00235,R00235,3.23474236371015,33.8859358319761,-3.063057016456389,gs66,374.0,-3.540772588892912
26,C00024,C00332,Acat1,0.6757002887316048,512,NM_144784,110446,2.3.1.9,"acetyl-CoA:acetyl-CoA C-acetyltransferase","2 Acetyl-CoA <=> CoA + Acetoacetyl-CoA",http://www.kegg.jp/entry/R00238,R00238,-1.09083975110558,142.338006986189,-2.9505191069813157,gs73,197.0,-3.2652783731161774
27,C00199,C00345,Pgd,0.8866384611465037,47,NM_001081274,110208,1.1.1.44,"6-phospho-D-gluconate:NADP+ 2-oxidoreductase (decarboxylating)","6-Phospho-D-gluconate + NADP+ <=> D-Ribulose 5-phosphate + CO2 + NADPH + H+",http://www.kegg.jp/entry/R01528,R01528,1.09946752751649,730.425929877645,-2.8798630755448293,gs77,54.0,-3.482552889875785
28,C00037,C00065,Shmt1,0.9283608417026699,246,NM_009171,20425,2.1.2.1,"5,10-Methylenetetrahydrofolate:glycine hydroxymethyltransferase","5,10-Methylenetetrahydrofolate + Glycine + H2O <=> Tetrahydrofolate + L-Serine",http://www.kegg.jp/entry/R00945,R00945,-Infinity,2.53965898451015,-2.5429579652317362,gs87,545.0,-3.519326644117389
